School Name,Full URL,Address,City,District,State,Phone,Email,Website
"77.Him Jyoti School, Dehradun",https://www.euttaranchal.com/schools/him-jyoti-school-dehradun.php,"7KM Mile Stone, Sahastradhara Road P.O Gujrada, Dehradun","Dehradun, Uttarakhand",,,"0135 2608227, 2608230","himjyotioffice@gmail.com, aohimjyotischool@gmail.com,",www.himjyotischool.org
78.Jaswant Modern School Dehradun,https://www.euttaranchal.com/schools/jaswant-modern-school-dehradun.php,"Parson's Estate, 91, Rajpur Road, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,+91 - 135- 2744519,principal@jaswantmodern.net,www.jaswantmodern.net
79.Jimp Pioneer School Dehradun,https://www.euttaranchal.com/schools/jimp-pioneer-school-dehradun.php,"Pitamberpur, P.O. Badowala, Arkedia-Grant, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,+91 8958575612,jimppioneerschools@gmail.com,http://www.jimppioneerschool.in/
80.Kay Cee Public School Dehradun,https://www.euttaranchal.com/schools/kay-cee-public-school-dehradun.php,"Shashi Vihar, Govind Garh, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,0135-2530841,,http://www.kayceepublicschool.com/
81.Kelvin International School Dehradun,https://www.euttaranchal.com/schools/kelvin-international-school-dehradun.php,"Chakrata Road, Opp. Balaji Dham, Jhajra, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,8899352255,kisdoon@gmail.com,https://www.kelvinschool.org/
"83.Kinderpillar Preschool, Dehradun",https://www.euttaranchal.com/pre-schools/kinderpillar-preschool-dehradun.php,"Mount View Colony, Sahastradhara Road, Near Prerna Store, Dehradun, Uttarakhand","Dehradun, Uttarakhand",,,+ 91 - 9528703320,dehradun@kinderpillar.com,www.kinderpillar.com
"84.Krayonz Preschool, Dehradun",https://www.euttaranchal.com/pre-schools/krayonz-preschool-dehradun.php,"D-97, Nehru Colony, Dharampur, Dehradun, Uttarakhand","Dehradun, Uttarakhand",,,"+91-0135-2669660, 2669661",krayonzpreschool@gmail.com,www.krayonzdehradun.in
85.Lakshya Public School Dehradun,https://www.euttaranchal.com/schools/lakshya-public-school-dehradun.php,"Ganeshpur, Shimla Bypass Road, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,9557629506,,http://www.lpsdehradun.com/
"86.Le Grand International School, Dehradun",https://www.euttaranchal.com/schools/le-grand-international-school-dehradun.php,"Near Jolly Grant Airport, Rani, Pokhri, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,+91-9412058500,"info@lgisdehradun.com, admission@lgisdehradun.com",http://pintmail.com/
"87.Little Planet Pre School, Dehradun",https://www.euttaranchal.com/pre-schools/little-planet-pre-school-dehradun.php,"Plot No 116, Bima Vihar, Near Doon Trafalgar Apartments, IT Park road, Govind Vihar, Dehradun, Uttarakhand","Dehradun, Uttarakhand",,,+ 91 - 9639034114,namansingh2000@gmail.com,dehradun.littleplanetpreschool.com/
"88.Lucent International School, Dehradun",https://www.euttaranchal.com/schools/lucent-international-school.php,"Manduwala (Kothri), Suddhowala, Chakrata Road, Dehradun - 248007, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-9690017190,91",admin@lucentschools.co.in,www.lucentschools.in
89.Maa Anandmayee Memorial School Dehradun,https://www.euttaranchal.com/schools/maa-anandmayee-memorial-school-dehradun.php,"P.O, Raiwala, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,+91-0135-2484645,,
90.Maharishi Vidya Mandir Dehradun,https://www.euttaranchal.com/schools/maharishi-vidya-mandir-dehradun.php,"Paundha Road, Nanda Chowki Prem Nagar     Dehradun (248007) - Uttarakhand","Dehradun, Uttarakhand",,,0135 - 2970154,mvmdehradun@mssmail.org,https://mvmdehradun.org/index.mvm
"91.Manava Bharati India International School, Dehradun",https://www.euttaranchal.com/schools/manava-bharati-india-international-school-dehradun.php,"D-Block, Nehru Colony,  Haridwar Road, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135 - 2669306, 9411112395",hr@mbs.ac.in,https://www.mbs.ac.in/
92.Marshall School Dehradun,https://www.euttaranchal.com/schools/marshall-school-dehradun.php,"40 East Canal Road, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-135-2658048, 09897335233",marshallschool@rediffmail.com,www.themarshallschool.com/
93.Max International School Dehradun,https://www.euttaranchal.com/schools/max-international-school-dehradun.php,"Thdc Colony, Banjarawala, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,"9050294300, 9050285300",info@maxinternationalschool.com,http://www.maxinternationalschool.com/
"94.Model School For Visually Handicapped, Dehradun",https://www.euttaranchal.com/schools/model-school-for-the-visually-handicapped-dehradun.php,"116 Rajpur Road, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-0135-2738060, 2744491","msvh@nivh.org.in, director@nivh.org.in",www.nivh.gov.in/index.php/departments/msvh
95.Moravian Institute Dehradun,https://www.euttaranchal.com/schools/moravian-institute-dehradun.php,"Zhan-Phan-Ling, Rajpur, Dehradun 248009, Uttarakhand, India","Dehradun, Uttarakhand",,,+91-135-273-4358,moravian.institute@gmail.com,www.moravianinstitute.com
96.Mount Fort Academy Dehradun,https://www.euttaranchal.com/schools/mount-fort-academy-dehradun.php,"Indira Nagar,  Dehradun, Pincode-248001 Uttarakhand.","Dehradun, Uttarakhand",,,"0135-2763427, 2760987, 7500-231-231",info@mountfortacademy.com,https://mountfortacademy.com/
