Name,Affiliation,School Type,Institute Level,School Category,Institute Location,Starting Fee,Description
"11.Doon International School, City Campus, Dehradun","CBSE, New Delhi",Boarding School (Residential),,Co-Educational,Dalanwala,"INR 3,40,000onwards","Doon International School, established in 1993 and affiliated with CBSE board, is a premier co-educational institution offering both day and residential options. Situated in the picturesque Dehradun Valley of Uttarakhand, it is renowned as one of the top boarding schools in the region. Admissions are open for students from 5th to 11th grade, and the school proudly holds the distinction of being ranked among the best boarding schools in Dehradun. True to its name, Doon International School i"
Joseph’s Academy Dehradun,"CISCE, New Delhi",Boarding School (Residential),,,,,"St. Joseph's Academy, Dehradun is a high school in Dehradun, Uttarakhand, India. It was founded in 1934 and is governed by the members of the Patrician Brothers' Institute. And it is known to be one of the best and oldest Schools of Dehradun. Today, it has over 3400 students, 120 teachers, and about 40 ancillary staff on the roll."
"13.Doon International School, Riverside Campus, Dehradun","CBSE, New Delhi",Boarding School (Residential),,Co-Educational,Pondha,"INR 1,40,000onwards","Doon International School, Riverside Campus, is a co-educational school offering both residential and day boarding options. Located on the serene outskirts of Dehradun, this school is part of the renowned Doon International group, which is celebrated for its exceptional standards across India. The school is established in 2015 by the Doon International Education Society, the Riverside Campus is affiliated with both CBSE and CAIE. The school provides high-quality education from Class I through Cl"
"Thomas’ College, Dehradun","CISCE, New Delhi",Boarding School (Residential),,,,,"St. Thomas' College (STC) is one of the top reputed private co-educational Schools in Dehradun, India. Under the supervision of Mr. R.V. Gardner, St Thomas College has been at the pinnacle in the field of higher and senior secondary education in Dehradun, Uttarakhand.St. Thomas' College was founded in 1916 in Dehradun.  It excels in imparting not only academic knowledge but also grooms young kids to become great leaders and entrepreneurs in the future."
15.Doon Global School Dehradun,"CBSE, New Delhi",Boarding School (Residential),,Co-Educational,Chakrata Road,"INR 48,000onwards","Doon Global School (DGS), established in 1998 and affiliated with the Central Board of Secondary Education (CBSE), New Delhi, is a premier co-educational institution located in Dehradun. Nestled on the picturesque banks of the Tons River and overlooking the scenic hills, the school offers a nurturing environment for both residential and day students. Catering to a diverse student body from nursery through to 12th grade, DGS has consistently achieved exemplary results in board examinations, refle"
"16.Selaqui International School, Dehradun","CBSE, New Delhi",Boarding School (Residential),,Co-Educational,Silaqui,"INR 8,00,000onwards","SelaQui International School, located in SelaQui village near Dehradun and spread across 52 acres, is a premier co-educational boarding school in Dehradun offering a world-class education. Established in October 2000 and led by the esteemed educationist and former IAS officer Mr. Om Pathak. Affiliated with both the CBSE (Central Board of Secondary Education) and CAIE (Cambridge Assessment International Education) boards, SelaQui International School ensures that students complete their Class X a"
17.Asian School Dehradun,"CBSE, New Delhi",Boarding School (Residential),,Co-Educational,Indira Nagar,"INR 80,000onwards","The Asian School is a premier day and boarding school in Dehradun, established in 2000. Located in the upscale Vasant Vihar area, it is a co-ed residential institution affiliated with the CBSE Board and spans 16 acres. The school caters to students from Class 1 through 12 and features modern amenities, including smart classrooms and spacious boarding houses. Students have access to a wide range of sports activities such as cricket, skating, gymnastics, football, basketball, table tennis, and swi"
18.Birla Open Minds International School,CBSE,Day,,Co-Educational,,,"Birla Open Minds International School is situated in the foothills of Shivalik Ranges, Dehradun, the capital of Uttarakhand, a combination of town lifestyles as well as hill culture often referred to as the gateway to the queen of hills Mussoorie and Dehradun are also recognized as an education hub of northern India.Birla Open Minds International School Dehradun is underneath the guidance of Birla Edutech Limited, which offers a comprehensive solution for education that envelopes the individuals"
"19.Ecole Globale International Girls School, Dehradun","CBSE, New Delhi",Boarding School (Residential),,Girls,Silaqui,"INR 11,00,000onwards","Ecole Globale International Girls' School, established in 2012, is set on 40 acres of lush greenery and features modern infrastructure. As a fully residential school for girls in Dehradun, it offers a secure and supportive environment. This dedication ensures that parents can rest easy, knowing their daughters are well cared for. The campus includes a well-equipped and technology-driven academic wing, five spacious boarding houses, extensive sports facilities, medical services, and a dining hall"
"20.St Judes School, Dehradun","ICSE, ISC",Day Scholar,,,,,"St Judes School is a co-educational English medium day school located in Doon valley. Affiliated to ICSE, New Delhi, St Judes School in Dehradun was founded in 1993. St Judes School offers well-equipped classes from Nursery to Class XII."
"Public School, Dehradun",CISCE,Day,,Co-Educational,,,"AMI Public School Dehradun is a special co-educational Best English medium school in Dehradun. It is one of the best ISCE schools in Dehradun. This faculty is working tirelessly in the direction of a platform the place where they build leaders, musicians, sportsmen, dancers, engineers, docs, and what no longer in our children. At AMI, mastering is rooted in a spirit of questioning, with the school students entreated to construct up their opinions and shape esteem discoveries they make for themse"
"22.Acacia Public School, Dehradun",CBSE,Day,,Co-Educational,,,"Acacia Public School in Dehradun is one of the best schools in Dehradun, Uttarakhand affiliated to Central Board of Secondary Education, New Delhi. The faculty offers admissions from Nursery to Class XII in English medium."
23.Aditya Birla Public School Dehradun,CBSE,Day,,Co-Educational,,,"Aditya Birla School Public School Dehradun provides co-educational Primary Education, CBSE Board and State Board affiliated Higher Secondary Education in eleven states throughout India. What began out as an Employee Wellness exercise is now building surrounding communities in these states? Currently, 40500 school students receive holistic education in various schools throughout India. One of the key focus areas of the Birla Group is education. Whether through Birla Group School or community welf"
24.Adroit Progressive School Dehradun,CISCE,Day,,Co-Educational,,,Adroit Progressive School Dehradun is one of the best ICSE schools in Dehradun and it was founded in the year 2007. This ICSE board school Dehradun started under the guidance of Mrs. Rajni S. Juneja and Mr. Harinder S. Juneja. Both have 20 years of experience in education and highly qualified and well trained. The school introduced many activities which encouraged students to critically think and become problem solvers. This best day boarding school in Dehradun uses progressive methods of educat
25.Ann Mary School Dehradun,"CISCE, New Delhi",Day Scholar,,,,,"Ann Mary School in Dehradun was founded by Dr. Deepak Arora and his German wife Mrs. Silvia Anna Maria Wieczorek in the year 1985 in Dehradun, Uttarakhand. Ann Mary School started as a kindergarten and today it is counted amongst one of the best schools of India. It is a senior secondary school offering a wide scope of education and co-curricular activities. Modern electronic learning equipment like computers, LCD projectors, digital movie cameras, etc. are used for making studies more attractiv"
"26.Apollo International School, Dehradun",CBSE,Boarding,,Co-Educational,,,"Apollo International School Dehradun was established in 1999. Apollo School Dehradun is a Senior Secondary School (XI-XII), affiliated with the Central Board of Secondary Education (CBSE). It is an English Medium school which services the educational need of hundreds of students from Playgroup through XII. The classes in Apollo International School Sahastradhara Road Dehradun for every academic year starts from April to March. This School is a Co-educational Day Cum Boarding School, with cl"
"27.Army Public School Birpur, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"Established under the aegis of Army Welfare Education Society (AWES), Army Public School Birpur is a co-educational day boarding situated in the Dehradun valley. The school is affiliated to CBSE and the medium of instruction is English. With a humble beginning in 2006, the school now completes with leading institutions in terms of academics as well as sports."
"28.Army Public School Clement Town, Dehradun","CBSE, New Delhi",Day Scholar,,,,,Army Public School is a co-educational senior secondary school in Dehradun that is affiliated to CBSE. The medium of instruction is English. The school aims to impart holistic development and nurturing of the unique qualities of each individual child and help them explore a new outlook in life. The Army Public School in Dehradun Clement Town has classes from I to XII.
"29.Bachpan Playschool, Dehradun",,,,,,,"Bachpan Playschool in Dehradun are renowned for its excellent early education pedagogy and has four preschools located in various parts in Dehradun - Saharanpur Road, Sahastradhara Road, Dehra Khas and Silakui. The play school aims for early development of a child and introducing him or her to structured learning through a systematic and innovative way."
30.Banyan Tree World School,,,,,,,"Banyan Tree World School Dehradun is a Pre School in Dehradun. It is the best preparatory school in Dehradun that aims to build a community of confident global leaders with social conscience and national pride, committed to excellence and continuous learning. Banyan tree school Dehradun believes that teaching practices must continuously change and evolve to support these developments, with emphasis on developing relationships, values and to aim at true happiness."
"31.Beverly Hills Shalini School, Dehradun",CBSE,Day Scholar,,,,,"Beverly Hills Shalini School in Dehradun is a premier co-educational school in the lush green surrounding of Doon valley. Shalini School was started in 1973 by Prof. L.K. Srivastava and his wife, Late Mrs. K. Srivastava. It is affiliated with CBSE, New Delhi. This Dehradun School has conducted classes from Pre-Nursery to XII."
"32.Bright Angels Senior Secondary School, Dehradun","CBSE, New Delhi",Boarding School (Residential),,,,,"Bright Angels Senior Secondary School in Dehradun was established in the year 2002. The highly revere educational institution is affiliated with the Central Board of Secondary Education, New Delhi. This CBSE school is idyllically situated in the pristine environs of Doon Valley. The institution has been founded by retired Lieutenant Colonel M.K Hussain and Mrs. Hussain. The educational body was formulated with a vision to nurture creative, inventive and discoverers of tomorrow those who are"
"33.Bright Space School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,Bright Space School is a co-educational school in Dehradun affiliated with CBSE. The medium of interaction is English while Hindi is given equal importance. This CBSE school in Dehradun was established in 2003 and has been producing outstanding results since then. The school has classes from Playschool to Class 12.
34.Brightlands School Dehradun,"CISCE, New Delhi",Day Scholar,,,,,"Brightlands School in one of the best schools in India which delivers top class results every year. Located at Dalanwala in the heart of Dehradun city, Brightlands School in Dehradun was established in 1958. It is a 10+2 English medium school affiliated with the Council for the Indian School Certificate Examinations (ICSE).This Dehradun School embodies the very essence of its motto ‘Vidyaev Balam’ – 'knowledge is strength'. Brightlands is one of the best and oldest co-educational schools o"
35.Bristol Public School Dehradun,CBSE,Day,,Co-Educational,,,"Bristol Public School Dehradun is the best school in Dehradun and a co-educational day school situated in the foothills of Shivalik range in the blissful surroundings of the Doon valley, lush green campus situated in the pollution-free open area green clean environment for nurturing young minds. This best CBSE school in Dehradun lays great stress on extracurricular activities and facilities have been provided accordingly in the school campus, dramatics, dance, music, art craft are taught by the"
"36.Brooklyn School, Dehradun","ICSE, ISC",Day Scholar,,,,,"Brooklyn School in Dehradun is an English medium co-ed school running on Indian cultural background. Founded in 1987 by Dehradun's famous physician Late Dr. Ram Murti, the school offers classes from Play Group to Class XII. This Dehradun School is affiliated with the Council for Indian School Certificate Examinations, New Delhi."
37.Cambrian Hall School Dehradun,"CISCE, New Delhi",Boarding School (Residential),,Co-Educational,Garhi Cantt,"INR 40,000onwards","Cambrian Hall is a co-educational residential and day school located in the serene environment of Dehradun, Uttarakhand. Established on July 12, 1954, by Late Col. Shashi Shumshere J.B. Rana, the school spans 35 bighas of lush, scenic grounds. This school in Dehradun is renowned for its modern infrastructure, meeting international standards, and is accredited by the Council for the Indian School Certificate Examinations (CISCE), New Delhi. The school’s picturesque setting and state-of-the-art"
38.Carman Residential And Day School Dehradun,"CISCE, New Delhi",Boarding School (Residential),,,,,"Carman Residential and Day School was founded on 3rd March 1960 by Mr and Mrs I. L. G. Mann in the backdrop of Himalayan Range in Doon Valley, Uttarakhand, India."
"39.Charmwood International School, Dehradun",ICSE,Day Scholar,,,,,"Charmwood International School is an English medium co-educational day boarding school from Kindergarten to Class 5. This school in Dehradun was founded in 1998 and affiliated to Indian School Certificate Examinations (ICSE), New Delhi.This Dehradun school focus empowers all students to succeed in their world by offering a wide variety of challenging, enjoyable, and successful curricular opportunities, sports programs, performing arts programs, along with various life skill-based activities. Sch"
"40.Children’s Academy, Dehradun",CBSE,Day Scholar,,,,,"Children's Academy is an english medium co-educational Senior Secondary day school in Dehradun. It is affiliated to CBSE, New Delhi and established in 1958. Children's Academy holds classes from Play Group to Class XII and provides best education with values to the child."
41.Col Brown Cambridge School Dehradun,"CISCE, New Delhi",Boarding School (Residential),,Boys,Dalanwala,"INR 6,30,000onwards","Colonel Brown Cambridge School (CBS) was founded in March 1926, by Col. and Mrs. W. Brown for Indian boys. It is an English Medium residential school open to all boys irrespective of their caste, creed, or social status. All the students are equivalent to Colonel Brown Cambridge School. This school in Dehradun is considered one of the finest educational institutes in India. The Motto of the school is ""MAGNA EST VERITAS"" which means ""TRUTH IS GREAT"" in Latin. This school in Uttarakhand not o"
42.Colonel’s Academy Dehradun,CBSE,Day,,Co-Educational,,,"Colonel's Academy Dehradun was started in 2006 and it is one of the best CBSE schools in Dehradun. The school is spread over an area of 5 acres of Greenery along the banks of the Tons river. Best School in Dehradun for nurturing a child's mind, keeping them in the lap of Mother Nature. Top day school in Dehradun campus has been planned in such a manner that only 30% of the total area will be concrete structures while the rest of the campus will be a harmonious blend of green patches, water-bodie"
43.Constancia School Dehradun,"CISCE, New Delhi",Day Scholar,,,,,Constancia School is a co-educational English medium school in Dehradun. The Constancia School is affiliated with Indian School Certificate Examinations (ISCE).
44.DAV Public School Dehradun,"CBSE, New Delhi",Day Scholar,,,,,"D.A.V Public School is a co-education English Medium School affiliated to CBSE, New Delhi. It was established in 1989 by the D.A.V College Committee to cater to the president's demands of the people of Dehradun. This school in Uttarakhand now boasts of having a strength of 2000 + children. The school has a beautiful building in a pollution-free environment with large playgrounds. Well equipped computer IT, H.Sec., Science laboratories library & Qualified teachers provide holistic educat"
45.Dehradun Boys School,,Boarding School (Residential),,,,,"Dehradun Boys School, Dehradun is a Boys residential primary school located in Dehradun. Started in 2000, Dehradun Boys School prepares young boys for the secondary schools with its professional educational atmosphere. Dehradun Boys School runs classes between Class I to Class IV. It is situated close to The Doon Girls School, Dehradun and makes students sound in education as well as in ethical values."
"46.Dehradun Hills Academy, Dehradun",CBSE,Boarding School (Residential),,Co-Educational,Doiwala,"INR 3,00,000onwards","Dehradun Hills Academy, a co-educational school in Dehradun, is registered under the Indian Societies Registration Act of 1860. Established in 1957 as The Blue Bird School, it has since expanded and relocated to accommodate its growth. Affiliated with the esteemed Central Board of Secondary Education (CBSE), New Delhi, this boarding school in Dehradun exemplifies a commitment to comprehensive education.The academy integrates practical, theoretical, and moral values to foster a well-rounded futur"
47.Doon Blossoms School Dehradun,CISCE,Day,,Co-Educational,,,Doon Blossoms School Dehradun was established by Mrs. Meenakshi Dixit in 1991. In 1994 Doon Blossoms Educational Society was formulated as Mr. R. R. Dixit President & Mrs. Meenakshi Dixit Director. Their farsightedness & vast experience in the field of education inspired them to move on this journey which today has turned into a phenomenon. This ICSE board school in Dehradun has been ranked amongst the top 100 ICSE schools in the country.
48.Doon Cambridge School Dehradun,"CISCE, New Delhi",Day & Residential School,,,,,"Doon Cambridge School in Dehradun is one of the most well-known schools in India. The Doon Cambridge school founded in the year 1982 by Mr. WC Kashyap, in its development from strength to strength has the proud privilege of having taught many students who have later become Distinguished Educationist's Army and civil Officers, Engineers, Chartered Accountants and successful Businessman.Doon Cambridge School in Uttarakhand has no bias for any religion or caste. They give admissions to children fro"
49.Doon Hempton School Dehradun,CISCE,Day,,Co-Educational,,,"Doon Hempton School Dehradun is situated at Rajiv Juyal Marg Niranjanpur Dehradun. This ICSE school in Dehradun was established in 1999 by Dr. K. N. Bahuguna (Founder of M.B. Junior High School, Maheshanand Inter College, and many other institutions) in and around Dehradun."
"50.Doon Heritage School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"The Doon Heritage School is a co-educational day scholar school situated in Dehradun which has classes from Playgroup to Class XII. This school in Dehradun is affiliated to CBSE and the medium of instruction is English. The school is known for its excellent infrastructure, value-based education, and excellent academic record."
51.Doon Presidency School Dehradun,"CISCE, New Delhi",Day Scholar,,,,,"Doon Presidency School in Dehradun is affiliated to the Council for the Indian School Certificate Examinations (ICSE). This ICSE school in Dehradun is known for its quality education and facilities. Computer labs, science labs and playground are places of interest for the students where they can learn more things."
"52.Doon Public Academy, Dehradun","CISCE, New Delhi",Boarding School (Residential),,,,,"Doon Public Academy is an English medium co-educational residential school located in the foothills of Doon valley in Dehradun. This school in Dehradun follows the norms of CISCE, New Delhi and presently provides quality education from Play Group to Class VIII."
"53.Doon Sarla Academy, Dehradun",CBSE New Delhi,Day Scholar,,,,,"Doon Sarla Academy was established in 1991 in memory of Late Smt. Sarla Devi (1936-1991) with the aim to give all-round development to the students. This institution has made its aim to not only give bookish knowledge but also to inculcate Duty, Devotion, and Discipline among the students. The institution started with five students and today it has a strength of more than 600 students. This institution is recognized by the Uttarakhand government and is in the process of attaining recognitio"
54.Doon Valley Public School Dehradun,"CBSE, New Delhi",Boarding School (Residential),,,,,"Doon Valley Public School in Dehradun is a co-ed boarding school offering an ideal opportunity to interact with students from various parts of the world and gain an international advantage. DVPS has been conceived as an answer to the growing need for a world-class residential School. Doon Valley Public School in Uttarakhand offers a comprehensive learning environment, with personal freedom, and the richness of non-academic activities.Doon Valley Public School Dehradun was started on 2 April 1982"
"55.Doon World School, Dehradun",CBSE,Day Boarding (Non Residential),,Co-Educational,Sahastradhara Road,"INR 40,000onwards","Doon World School is one of the best and most affordable CBSE schools in Dehradun. The school offers English medium instruction, and classes ranging from Playgroup to Grade XII, along with day boarding facilities, and is affiliated with the CBSE. We view every child as a valuable asset and are dedicated to providing personalized attention to each student. The school encourages students to excel in both academic and co-curricular activities."
56.DPS Dehradun,CBSE,Day Scholar,,Co-Educational,,"INR 48,000onwards","DPS Dehradun is a co-educational school located in Shahashtra Dhara Road in Dehradun. It is affiliated to CBSE, New Delhi, and set up by the M.P.Singh foundation under DPS Society, New Delhi. This school in Dehradun has conducted classes from Nursery to XII."
"57.DPSG, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"The DPSG Dehradun is a co-educational school that is promoted by Delhi Public School Ghaziabad Society. This school in Uttarakhand is affiliated with CBSE Curriculum from Class 1 to Class 12. Currently, it provides classes from KG to Class 8 with a plan to add a class every year."
"58.Dream Flowers, Dehradun",,,,,,,Dream Flowers is a play school in Dehradun that addresses the educational and emotional needs of early childhood years by following methods of the overall development. It believes in balancing learning along with fun from the very first stage of early education through its various programs.
"59.Drona’s International School, Dehradun",CBSE,Day Scholar,,,,,"Drona's International School Dehradun is a day scholar English medium co-educational school in Dehradun. Drona's International School was established in 1983 and affiliated to CBSE, New Delhi. This CBSE School in Dehradun holds classes from Nursery to Class XII."
"60.Edify World School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"Edify World School is an English medium secondary school in Dehradun. The co-educational world school is a part of MDN EDIFY Education, an initiative of the DRS group. This school in Uttarakhand follows the CBSE curriculum integrated with the International Baccalaureate IB PYP Primary Years Programme from Kindergarten to Grade V. Presently the school offers classes from KG to Class VI and will upgrade one class each year."
"61.Explorers Play School And Day Care, Dehradun",,,,,,,"Explorers Play School and Day Care is premier playschool located in Dehradun. The preschool offers programs such as playschool and Day care. The play school is situated at three different places in Dehradun city : Rajpur road, Sahastradhara road and Indira Nagar."
"62.Fylfot Public School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"Fylfot Public School is a co-educational day boarding school in Dehradun affiliated to CBSE, New Delhi. This school in Dehradun has classes from Nursery to Class XII and the medium of instruction is English. This Dehradun school strives to impart quality education to its students along with character-building skills that will help them achieve greater heights in their future."
"63.Galaxian International School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"Galaxian International School is a co-educational English medium school situated in Doon valley. This school in Dehradun follows the CBSE curriculum and apart from academics, singing, dance, art, and craft are regular activities that are part of the curriculum. The school provides quality education from Playgroup to Class XII."
"64.Gautam International School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"Gautam International School is an English medium Co-educational Senior Secondary school located in lush green Doon valley. The school was founded in 2000 following the vision and inspiration of Late Prof C.L Sharma. This school in Uttarakhand is affiliated to CBSE Board, New Delhi and provides quality education from Playgroup to Class XII."
65.GD Goenka Public School Dehradun,CBSE,Day Boarding (Non Residential),,Co-Educational,Shimla Bypass Road,,"GD Goenka Public School, located in Dehradun, is a co-educational day boarding school that provides education in English. Situated on a sprawling 25-acre green campus, the school caters to students from Nursery through Grade 12th. It offers a well-rounded educational experience that encourages students to discover their interests and passions beyond traditional classroom learning."
"66.George Public School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"George Public School is a co-educational school in Dehradun, established in 2006. The school is affiliated to CBSE and has English as a medium of instruction. The school is the only school in a country that provides a platform to join Sainik/Military School, RIMC and NDA."
"67.Glacier Public School, Dehradun",CBSE New Delhi,Day Scholar,,,,,Glacier Public School is a co-educational school in Dehradun affiliated to the Central Board of Secondary Education (CBSE). This English medium school was established in the year 1994. The school has classes from playgroup to class X. The school aims to provide holistic education to all its students emphasizing discipline and punctuality.
"68.Grace Academy, Dehradun",CBSE,Day & Residential School,,Co-Educational,Hathibarkala,"INR 60,000onwards","Grace Academy Dehradun is a co-educational English medium secondary school offering both residential and day schooling options. Located on New Cantt Road in Dehradun, this Christian minority institution is affiliated with the Central Board of Secondary Education (CBSE), New Delhi, and is managed by the Grace Educational Society. The school in Dehradun provides a dedicated boarding facility exclusively for Christian students and is committed to fostering all-round development. Grace Academy"
"69.GRD Academy, Dehradun","CBSE, New Delhi",Day Scholar,,,,,"GRD Academy is an English medium co-ed school in Dehradun city providing quality education. The school was established in 1998 and running under the Guru Ram Das Educational Trust. The GRD Academy is affiliated to the CBSE, New Delhi. The school offers modern education to students from middle-class families by keeping affordable fees. The state of art infrastructure, best amenities, and facilities with a high standard of education make it one of the best schools in Dehradun."
"70.GRD World School, Dehradun","ICSE, ISC",Boarding School (Residential),,Co-Educational,Bhauwala,"INR 24,000onwards","GRD World School is an English medium residential and day scholar school in Dehradun, offering high-quality education. Founded in 2013 and affiliated with the CBSE Board, the school provides a co-educational environment, though hostel facilities are currently available only for boys. The well-equipped hostel is designed to offer a comfortable, home-like experience.Operated under the Guru Ram Das Education Trust, GRD World School is situated on a picturesque 50-acre campus in the Himalayas, where"
"71.Greenwood Hills School, Dehradun",,Day Scholar,,,,,"Greenwood Hills School is a reputed school in Dehradun providing a learning atmosphere for education. Located in Dudhli road near Mothrowala, the school is situated amidst green hills. This Dehradun school promotes education through a planned curriculum balancing academic and extracurricular activities."
72.Guru Nanak Academy Dehradun,"CISCE, New Delhi",Day Scholar,,,,,"Guru Nanak Academy in Dehradun was established in the year 1972 to mark 500 Birth Anniversary of Guru Nanak. Guru Nanak Academy is one of the good Schools in Dehradun, Uttaranchal. Guru Nanak Academy in Dehradun provides 2 multipurpose fields, 2 basketball courts, a Volleyball court, Indoor, and outdoor Badminton courts, a Boxing ring, a Library, a Reading room, Labs for Computers, Physics, Chemistry, and Biology."
73.Gyan Einstein International School Dehradun,CBSE,Boarding,,Co-Educational,,,"Gyan Einstein International School Dehradun established in the year 2015 and running under the aegis of the Gyan Einstein Society. This best boarding school in Dehradun is one of the famous High Schools situated in Shisham, Bada Parwal Road, Shimla Bypass Road, Dehradun, Uttarakhand. This CBSE boarding school in Dehradun offers excellent schooling with the best lodging and boarding services for students."
"74.Gyananda School, Dehradun",,Boarding School (Residential),,,,,"The Gyananda School is a day boarding school for girls in Dehradun. Established in 2016, the school runs classes from Senior KG to Class VIII in encouraging learning environment. This girls school in Dehradun now becomes a center of learning for girls education in Dehradun."
"75.Hill Foundation School, Dehradun","CBSE, New Delhi",Day Scholar,,,,,Hill Foundation School in Dehradun is a co-educational school that offers education from standard 1 to 8. The medium of instruction is English. The school is co-educational and it has an attached pre-primary section. This school in Uttarakhand imparts quality education to its students through its academics while at the same time give importance to sports and co-curricular activities.
76.Hilton School Dehradun,"CISCE, New Delhi",Day Scholar,,,,,"Hilton School was established in 1975 by Mrs. E Hilton at Majra in Dehradun. This Dehradun school is affiliated with the Council of Indian School Certificate Examinations (ICSE).In ICSE School, the classes are offered up to the 12th standard."
